wiki,overall size rank,monthly unique devices,mobile unique devices,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority-mobile editors,monthly new active editors,second-month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly flow messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,domain name,language name,project name,wiki name
Gagauz Wikipedia,432,"12,634",29.7%,5.0%,0.0%,"1,516",8,1,1,5.4%,0,0.0%,54,20.8%,5.6%,1.4%,12.4%,1.1%,0.78,0,"2,758","13,093",5,left-to-right,gagwiki,wikipedia,gag,https://gag.wikipedia.org,Gagauz,Wikipedia,Gagauz Wikipedia
Northern Sotho Wikipedia,433,"10,076",37.3%,8.4%,0.0%,"1,860",5,1,1,5.7%,0,0.0%,169,0.3%,0.8%,0.4%,16.4%,0.8%,0.90,0,"8,037","21,035",3,left-to-right,nsowiki,wikipedia,nso,https://nso.wikipedia.org,Northern Sotho,Wikipedia,Northern Sotho Wikipedia
Tsonga Wikipedia,434,"8,359",27.5%,7.4%,0.0%,"1,475",6,2,2,12.5%,0,25.0%,165,0.9%,1.9%,1.9%,4.1%,2.0%,0.91,0,562,"4,360",8,left-to-right,tswiki,wikipedia,ts,https://ts.wikipedia.org,Tsonga,Wikipedia,Tsonga Wikipedia
Catalan Wikisource,435,"9,399",35.5%,19.3%,0.0%,861,11,1,2,0.0%,0,0.0%,162,0.4%,0.2%,1.1%,3.9%,2.0%,0.91,0,"7,327","73,848",10,left-to-right,cawikisource,wikisource,ca,https://ca.wikisource.org,Catalan,Wikisource,Catalan Wikisource
Greek Wikivoyage,436,"18,718",55.2%,35.3%,0.0%,"3,077",6,1,1,4.7%,0,0.0%,26,3.1%,8.6%,34.2%,29.7%,8.0%,0.72,0,"1,337","16,456",12,left-to-right,elwikivoyage,wikivoyage,el,https://el.wikivoyage.org,Greek,Wikivoyage,Greek Wikivoyage
Sicilian Wiktionary,437,"10,596",63.2%,39.3%,0.0%,"2,155",5,1,1,0.0%,0,0.0%,33,53.2%,1.5%,1.8%,10.4%,0.0%,0.77,0,"18,720","92,766",5,left-to-right,scnwiktionary,wiktionary,scn,https://scn.wiktionary.org,Sicilian,Wiktionary,Sicilian Wiktionary
Belarusian Wikisource,438,"7,398",43.6%,18.4%,0.0%,"1,325",6,2,1,2.7%,0,25.0%,87,0.3%,1.1%,0.1%,3.4%,0.2%,0.87,0,"2,995","21,919",7,left-to-right,bewikisource,wikisource,be,https://be.wikisource.org,Belarusian,Wikisource,Belarusian Wikisource
Ukrainian Wikinews,439,"2,841",18.3%,13.8%,0.0%,208,14,4,1,0.0%,0,50.0%,144,0.6%,0.3%,0.4%,1.7%,1.3%,0.82,0,"1,686","9,030",5,left-to-right,ukwikinews,wikinews,uk,https://uk.wikinews.org,Ukrainian,Wikinews,Ukrainian Wikinews
Kara-Kalpak Wikipedia,440,"10,548",24.4%,6.4%,0.0%,"1,507",7,1,1,9.1%,0,0.0%,52,3.2%,8.9%,5.6%,33.5%,4.1%,0.78,0,"1,907","9,583",5,left-to-right,kaawiki,wikipedia,kaa,https://kaa.wikipedia.org,Kara-Kalpak,Wikipedia,Kara-Kalpak Wikipedia
Khmer Wiktionary,441,"11,326",65.0%,43.0%,0.0%,"3,398",3,1,1,11.1%,0,0.0%,43,19.0%,8.6%,2.9%,23.8%,0.0%,0.84,0,"4,514","61,784",14,left-to-right,kmwiktionary,wiktionary,km,https://km.wiktionary.org,Khmer,Wiktionary,Khmer Wiktionary
Latvian Wiktionary,442,"9,112",41.2%,19.6%,0.0%,"1,458",6,1,1,4.6%,0,0.0%,313,15.2%,23.3%,0.1%,3.7%,0.6%,0.92,0,"11,066","28,810",3,left-to-right,lvwiktionary,wiktionary,lv,https://lv.wiktionary.org,Latvian,Wiktionary,Latvian Wiktionary
Danish Wikibooks,443,"11,098",39.9%,24.8%,0.0%,"2,296",5,1,2,5.0%,0,0.0%,77,1.0%,2.2%,0.7%,14.6%,0.6%,0.90,0,"1,213","16,036",13,left-to-right,dawikibooks,wikibooks,da,https://da.wikibooks.org,Danish,Wikibooks,Danish Wikibooks
Malayalam Wikiquote,444,"10,279",77.2%,74.2%,0.0%,"1,898",5,1,0,1.5%,1,0.0%,23,1.1%,8.1%,0.7%,18.0%,1.5%,0.54,0,314,"7,049",22,left-to-right,mlwikiquote,wikiquote,ml,https://ml.wikiquote.org,Malayalam,Wikiquote,Malayalam Wikiquote
Lithuanian Wikibooks,445,"11,943",43.8%,38.1%,0.0%,"2,986",4,1,1,4.0%,0,0.0%,23,1.8%,6.3%,1.9%,25.8%,12.9%,0.74,0,273,"12,845",47,left-to-right,ltwikibooks,wikibooks,lt,https://lt.wikibooks.org,Lithuanian,Wikibooks,Lithuanian Wikibooks
Czech Wikinews,446,"4,107",17.6%,7.6%,0.0%,376,11,3,2,1.3%,0,4.2%,274,17.4%,0.4%,0.5%,1.4%,1.7%,0.94,0,"5,413","21,599",4,left-to-right,cswikinews,wikinews,cs,https://cs.wikinews.org,Czech,Wikinews,Czech Wikinews
Albanian Wikibooks,447,"22,610",68.0%,54.8%,0.0%,"9,044",3,1,1,4.2%,0,0.0%,82,0.5%,1.7%,2.5%,52.7%,0.6%,0.86,0,"3,279","18,539",6,left-to-right,sqwikibooks,wikibooks,sq,https://sq.wikibooks.org,Albanian,Wikibooks,Albanian Wikibooks
Bislama Wikipedia,448,"7,979",19.1%,4.9%,0.1%,"1,019",8,1,2,9.5%,0,20.0%,118,1.2%,2.3%,0.9%,36.8%,3.8%,0.90,0,"1,176","6,054",5,left-to-right,biwiki,wikipedia,bi,https://bi.wikipedia.org,Bislama,Wikipedia,Bislama Wikipedia
Norman Wikipedia,449,"10,301",23.4%,5.5%,0.0%,"1,472",7,1,1,2.1%,0,100.0%,118,1.3%,1.3%,1.6%,5.6%,0.9%,0.90,0,"3,958","16,984",4,left-to-right,nrmwiki,wikipedia,nrm,https://nrm.wikipedia.org,Norman,Wikipedia,Norman Wikipedia
Aromanian Wikipedia,450,"10,283",17.9%,5.4%,0.0%,"1,386",7,1,1,9.2%,0,100.0%,52,2.6%,16.2%,1.6%,12.4%,6.7%,0.79,0,"1,208","11,683",10,left-to-right,roa_rupwiki,wikipedia,roa-rup,https://roa-rup.wikipedia.org,Aromanian,Wikipedia,Aromanian Wikipedia
Vlax Romani Wikipedia,451,"6,948",20.9%,17.5%,0.4%,981,7,2,2,10.3%,0,66.7%,118,1.7%,65.3%,1.7%,8.7%,7.3%,0.84,0,657,"6,077",9,left-to-right,rmywiki,wikipedia,rmy,https://rmy.wikipedia.org,Vlax Romani,Wikipedia,Vlax Romani Wikipedia
Uzbek Wiktionary,452,"10,955",64.5%,27.6%,0.0%,"1,643",7,1,1,18.6%,0,0.0%,170,31.5%,2.4%,0.5%,34.6%,2.4%,0.90,0,"116,597","57,973",0,left-to-right,uzwiktionary,wiktionary,uz,https://uz.wiktionary.org,Uzbek,Wiktionary,Uzbek Wiktionary
Divehi Wikipedia,453,"13,107",13.2%,4.7%,0.1%,"1,808",7,1,1,4.6%,0,20.0%,44,3.1%,3.8%,22.7%,24.0%,3.0%,0.78,0,"3,027","22,677",7,right-to-left,dvwiki,wikipedia,dv,https://dv.wikipedia.org,Divehi,Wikipedia,Divehi Wikipedia
Breton Wiktionary,454,"5,214",19.5%,7.8%,0.0%,948,6,2,1,6.1%,0,0.0%,"2,592",5.6%,0.0%,0.0%,44.5%,10.2%,0.92,0,"38,301","175,287",5,left-to-right,brwiktionary,wiktionary,br,https://br.wiktionary.org,Breton,Wiktionary,Breton Wiktionary
Ganda Wikipedia,455,"6,470",25.9%,7.0%,0.0%,"1,008",6,2,2,8.7%,0,40.0%,86,2.3%,5.3%,1.9%,22.2%,2.5%,0.76,0,"1,161","6,101",5,left-to-right,lgwiki,wikipedia,lg,https://lg.wikipedia.org,Ganda,Wikipedia,Ganda Wikipedia
Navajo Wikipedia,456,"9,767",14.2%,4.4%,0.1%,"1,429",7,1,2,0.0%,0,50.0%,"2,779",0.1%,0.0%,0.0%,0.1%,0.2%,0.98,0,"5,491","84,289",15,left-to-right,nvwiki,wikipedia,nv,https://nv.wikipedia.org,Navajo,Wikipedia,Navajo Wikipedia
Bulgarian Wikibooks,457,"11,732",52.1%,44.8%,0.0%,"2,707",4,1,1,5.0%,0,0.0%,77,0.5%,15.7%,48.2%,28.3%,12.7%,0.88,0,288,"6,142",21,left-to-right,bgwikibooks,wikibooks,bg,https://bg.wikibooks.org,Bulgarian,Wikibooks,Bulgarian Wikibooks
Cherokee Wikipedia,458,"8,111",20.4%,5.4%,0.1%,"1,159",7,1,2,8.3%,0,0.0%,177,1.0%,1.3%,3.2%,9.7%,2.7%,0.90,0,833,"8,456",10,left-to-right,chrwiki,wikipedia,chr,https://chr.wikipedia.org,Cherokee,Wikipedia,Cherokee Wikipedia
Southern Sotho Wikipedia,459,"14,190",67.5%,34.0%,0.0%,"2,398",6,1,2,21.4%,0,0.0%,65,2.3%,3.5%,6.8%,8.5%,0.6%,0.83,0,539,"2,673",5,left-to-right,stwiki,wikipedia,st,https://st.wikipedia.org,Southern Sotho,Wikipedia,Southern Sotho Wikipedia
Kazakh Wikibooks,460,"22,371",69.2%,60.8%,0.0%,"9,257",2,0,1,8.7%,0,0.0%,26,1.6%,21.3%,2.9%,16.9%,5.7%,0.70,0,118,"1,212",10,left-to-right,kkwikibooks,wikibooks,kk,https://kk.wikibooks.org,Kazakh,Wikibooks,Kazakh Wikibooks
Occitan Wiktionary,461,"3,193",29.5%,7.8%,0.0%,426,8,3,1,2.7%,0,0.0%,"1,926",6.2%,0.1%,0.0%,0.5%,0.2%,0.96,0,"44,073","138,365",3,left-to-right,ocwiktionary,wiktionary,oc,https://oc.wiktionary.org,Occitan,Wiktionary,Occitan Wiktionary
Gujarati Wikisource,462,"6,429",73.8%,30.8%,0.0%,701,9,1,1,8.8%,0,0.0%,882,0.1%,1.1%,0.1%,0.4%,0.4%,0.92,0,"16,845","60,486",4,left-to-right,guwikisource,wikisource,gu,https://gu.wikisource.org,Gujarati,Wikisource,Gujarati Wikisource
Buginese Wikipedia,463,"7,683",18.1%,4.2%,0.0%,960,8,1,2,4.4%,0,20.0%,111,20.0%,3.1%,0.9%,55.2%,12.1%,0.88,0,"14,115","16,685",1,left-to-right,bugwiki,wikipedia,bug,https://bug.wikipedia.org,Buginese,Wikipedia,Buginese Wikipedia
Latin Wiktionary,464,"5,344",31.9%,15.5%,0.0%,844,6,2,2,2.1%,0,0.0%,601,8.8%,0.1%,0.1%,0.4%,0.3%,0.97,0,"22,885","71,104",3,left-to-right,lawiktionary,wiktionary,la,https://la.wiktionary.org,Latin,Wiktionary,Latin Wiktionary
Bangla Wikibooks,465,"7,095",72.4%,58.6%,0.0%,811,9,1,1,33.3%,0,0.0%,123,9.8%,17.2%,1.1%,15.3%,2.9%,0.84,0,307,"3,232",11,left-to-right,bnwikibooks,wikibooks,bn,https://bn.wikibooks.org,Bangla,Wikibooks,Bangla Wikibooks
Korean Wikiquote,466,"8,080",46.0%,30.7%,0.0%,"1,293",6,1,1,2.9%,0,0.0%,52,4.4%,8.2%,0.5%,23.4%,5.6%,0.77,0,971,"8,897",9,left-to-right,kowikiquote,wikiquote,ko,https://ko.wikiquote.org,Korean,Wikiquote,Korean Wikiquote
Kalaallisut Wikipedia,467,"8,752",13.8%,3.5%,0.0%,929,9,1,2,2.6%,0,25.0%,45,3.6%,4.7%,9.5%,14.2%,4.3%,0.75,0,"1,656","8,848",5,left-to-right,klwiki,wikipedia,kl,https://kl.wikipedia.org,Kalaallisut,Wikipedia,Kalaallisut Wikipedia
Kikuyu Wikipedia,468,"6,151",16.2%,4.9%,0.0%,"1,011",6,1,1,6.5%,0,30.0%,40,3.2%,7.3%,24.7%,5.4%,1.0%,0.76,0,"1,357","4,152",3,left-to-right,kiwiki,wikipedia,ki,https://ki.wikipedia.org,Kikuyu,Wikipedia,Kikuyu Wikipedia
Western Mari Wikipedia,469,"7,920",14.9%,3.1%,0.0%,990,8,1,1,3.2%,0,0.0%,151,5.9%,0.4%,0.9%,1.4%,0.3%,0.93,0,"10,267","27,953",3,left-to-right,mrjwiki,wikipedia,mrj,https://mrj.wikipedia.org,Western Mari,Wikipedia,Western Mari Wikipedia
Akan Wikipedia,470,"7,629",27.6%,8.8%,0.9%,"1,103",7,1,2,7.4%,0,33.3%,62,2.0%,12.0%,3.4%,14.8%,3.4%,0.82,0,559,"2,630",5,left-to-right,akwiki,wikipedia,ak,https://ak.wikipedia.org,Akan,Wikipedia,Akan Wikipedia
Malagasy Wiktionary,471,"15,866",55.8%,16.8%,0.0%,"1,885",8,1,2,6.8%,0,0.0%,38,99.9%,15.2%,0.4%,26.3%,12.8%,0.75,0,"4,724,651","166,855",0,left-to-right,mgwiktionary,wiktionary,mg,https://mg.wiktionary.org,Malagasy,Wiktionary,Malagasy Wiktionary
Wolof Wikipedia,472,"9,050",22.1%,5.3%,0.1%,"1,308",7,1,1,1.8%,0,100.0%,30,6.3%,2.0%,3.6%,10.6%,3.1%,0.71,0,"1,166","13,483",12,left-to-right,wowiki,wikipedia,wo,https://wo.wikipedia.org,Wolof,Wikipedia,Wolof Wikipedia
Bambara Wikipedia,473,"7,498",20.0%,6.1%,0.1%,"1,233",6,1,1,4.4%,0,100.0%,49,2.6%,4.4%,0.9%,5.9%,3.2%,0.81,0,646,"4,826",7,left-to-right,bmwiki,wikipedia,bm,https://bm.wikipedia.org,Bambara,Wikipedia,Bambara Wikipedia
Romanian Wikibooks,474,"14,741",55.9%,44.6%,0.0%,"5,054",3,1,0,3.6%,0,0.0%,21,2.3%,12.9%,15.6%,31.3%,6.3%,0.69,0,459,"11,880",26,left-to-right,rowikibooks,wikibooks,ro,https://ro.wikibooks.org,Romanian,Wikibooks,Romanian Wikibooks
Twi Wikipedia,475,"6,615",15.7%,4.0%,0.1%,"1,345",5,1,2,2.7%,0,33.3%,55,2.5%,1.2%,27.5%,45.4%,4.7%,0.83,0,606,"2,701",4,left-to-right,twwiki,wikipedia,tw,https://tw.wikipedia.org,Twi,Wikipedia,Twi Wikipedia
Aramaic Wikipedia,476,"10,413",13.3%,4.3%,0.3%,"1,644",6,1,1,9.6%,0,50.0%,22,6.5%,10.1%,16.7%,14.7%,10.5%,0.67,0,"1,627","17,439",11,right-to-left,arcwiki,wikipedia,arc,https://arc.wikipedia.org,Aramaic,Wikipedia,Aramaic Wikipedia
Hungarian Wikisource,477,"10,295",31.7%,11.1%,0.0%,"1,358",8,1,2,1.5%,0,0.0%,124,0.3%,1.1%,0.2%,1.2%,0.5%,0.90,0,"21,001","44,993",2,left-to-right,huwikisource,wikisource,hu,https://hu.wikisource.org,Hungarian,Wikisource,Hungarian Wikisource
Atikamekw Wikipedia,478,"1,860",23.1%,3.1%,0.2%,64,29,4,0,0.0%,0,0.0%,212,0.0%,0.7%,15.8%,6.3%,0.0%,0.00,0,500,0,0,left-to-right,atjwiki,wikipedia,atj,https://atj.wikipedia.org,Atikamekw,Wikipedia,Atikamekw Wikipedia
Belarusian Wikiquote,479,"2,828",41.8%,19.8%,0.0%,499,6,2,1,0.0%,0,0.0%,176,0.2%,1.6%,0.8%,9.6%,1.7%,0.89,0,291,"2,591",9,left-to-right,bewikiquote,wikiquote,be,https://be.wikiquote.org,Belarusian,Wikiquote,Belarusian Wikiquote
Basque Wiktionary,480,"4,502",26.7%,9.9%,0.0%,844,5,1,1,0.0%,0,0.0%,63,82.6%,0.3%,0.3%,4.6%,0.8%,0.81,0,"54,090","32,197",1,left-to-right,euwiktionary,wiktionary,eu,https://eu.wiktionary.org,Basque,Wiktionary,Basque Wiktionary
Samoan Wikipedia,481,"7,566",19.5%,5.5%,0.1%,"1,355",6,1,2,6.7%,0,50.0%,86,1.7%,1.5%,1.5%,36.5%,2.1%,0.84,0,798,"5,701",7,left-to-right,smwiki,wikipedia,sm,https://sm.wikipedia.org,Samoan,Wikipedia,Samoan Wikipedia
Romanian Wikiquote,482,"14,436",57.1%,44.3%,0.0%,"5,588",3,0,1,8.0%,0,0.0%,14,7.3%,10.9%,1.8%,15.2%,3.0%,0.64,0,214,"6,697",31,left-to-right,rowikiquote,wikiquote,ro,https://ro.wikiquote.org,Romanian,Wikiquote,Romanian Wikiquote
Tok Pisin Wikipedia,483,"11,824",28.9%,8.1%,0.1%,"1,689",7,1,1,3.7%,0,0.0%,46,17.4%,2.0%,2.2%,35.7%,4.3%,0.80,0,"1,481","8,178",6,left-to-right,tpiwiki,wikipedia,tpi,https://tpi.wikipedia.org,Tok Pisin,Wikipedia,Tok Pisin Wikipedia
Gothic Wikipedia,484,"7,041",15.6%,5.0%,0.0%,"1,207",6,1,2,1.9%,0,33.3%,68,3.3%,6.5%,41.3%,36.8%,6.9%,0.86,0,561,"1,612",3,left-to-right,gotwiki,wikipedia,got,https://got.wikipedia.org,Gothic,Wikipedia,Gothic Wikipedia
Georgian Wikiquote,485,"16,847",42.4%,35.7%,0.0%,"4,395",4,0,1,3.5%,0,20.0%,19,5.7%,8.3%,12.6%,21.7%,7.0%,0.66,0,170,"14,153",83,left-to-right,kawikiquote,wikiquote,ka,https://ka.wikiquote.org,Georgian,Wikiquote,Georgian Wikiquote
Swedish Wikivoyage,486,"6,677",51.0%,26.1%,0.0%,921,7,1,1,3.8%,0,0.0%,27,67.2%,12.4%,20.7%,17.9%,12.7%,0.65,0,"1,516","43,226",29,left-to-right,svwikivoyage,wikivoyage,sv,https://sv.wikivoyage.org,Swedish,Wikivoyage,Swedish Wikivoyage
Norwegian Wikisource,487,"6,581",36.0%,6.7%,0.0%,"1,612",4,1,1,0.0%,0,0.0%,173,24.2%,0.1%,0.1%,0.4%,0.4%,0.92,0,"4,662","84,186",18,left-to-right,nowikisource,wikisource,no,https://no.wikisource.org,Norwegian,Wikisource,Norwegian Wikisource
Sanskrit Wiktionary,488,"32,141",87.1%,59.0%,0.0%,"12,053",3,0,0,24.0%,0,0.0%,16,14.9%,59.5%,10.8%,69.7%,3.1%,0.76,0,"5,978","12,661",2,left-to-right,sawiktionary,wiktionary,sa,https://sa.wiktionary.org,Sanskrit,Wiktionary,Sanskrit Wiktionary
Sranan Tongo Wikipedia,489,"5,808",19.0%,4.5%,0.1%,"1,106",5,1,1,0.0%,0,0.0%,18,2.6%,1.4%,4.1%,8.1%,5.4%,0.67,0,"1,060","5,799",5,left-to-right,srnwiki,wikipedia,srn,https://srn.wikipedia.org,Sranan Tongo,Wikipedia,Sranan Tongo Wikipedia
Kongo Wikipedia,490,"8,786",22.3%,6.7%,0.2%,"1,818",5,1,1,11.4%,0,0.0%,25,4.7%,9.9%,2.0%,20.5%,4.6%,0.71,0,"1,179","5,642",5,left-to-right,kgwiki,wikipedia,kg,https://kg.wikipedia.org,Kongo,Wikipedia,Kongo Wikipedia
Nauru Wikipedia,491,"8,692",18.6%,4.8%,0.2%,"1,798",5,1,2,14.9%,0,50.0%,25,29.1%,6.3%,3.6%,13.6%,2.3%,0.74,0,"1,304","8,649",7,left-to-right,nawiki,wikipedia,na,https://na.wikipedia.org,Nauru,Wikipedia,Nauru Wikipedia
Burmese Wiktionary,492,"5,041",54.6%,17.0%,0.0%,992,5,1,1,26.7%,0,0.0%,200,97.0%,3.1%,0.6%,3.8%,2.7%,0.95,0,"118,403","74,945",1,left-to-right,mywiktionary,wiktionary,my,https://my.wiktionary.org,Burmese,Wiktionary,Burmese Wiktionary
Komi-Permyak Wikipedia,493,"7,286",17.3%,3.6%,0.0%,"1,182",6,1,1,6.0%,0,0.0%,103,8.4%,0.8%,0.6%,3.1%,1.4%,0.92,0,"3,449","16,637",5,left-to-right,koiwiki,wikipedia,koi,https://koi.wikipedia.org,Komi-Permyak,Wikipedia,Komi-Permyak Wikipedia
Chamorro Wikipedia,494,"7,245",11.8%,5.8%,0.0%,"1,242",6,1,2,3.9%,0,25.0%,32,4.2%,4.6%,7.5%,17.5%,2.8%,0.71,0,469,"2,413",5,left-to-right,chwiki,wikipedia,ch,https://ch.wikipedia.org,Chamorro,Wikipedia,Chamorro Wikipedia
Lojban Wikipedia,495,"8,240",17.9%,10.3%,0.0%,"1,354",6,1,1,2.1%,0,25.0%,43,12.4%,3.7%,2.1%,11.9%,4.5%,0.77,0,"1,220","14,215",12,left-to-right,jbowiki,wikipedia,jbo,https://jbo.wikipedia.org,Lojban,Wikipedia,Lojban Wikipedia
Dinka Wikipedia,496,"1,464",11.4%,1.9%,0.1%,129,11,3,0,2.7%,1,0.0%,181,3.6%,7.0%,30.9%,15.8%,0.0%,0.00,0,68,0,0,left-to-right,dinwiki,wikipedia,din,https://din.wikipedia.org,Dinka,Wikipedia,Dinka Wikipedia
Latgalian Wikipedia,497,"5,625",12.7%,2.9%,0.0%,925,6,1,1,8.3%,0,0.0%,24,6.3%,6.0%,3.6%,8.9%,5.7%,0.68,0,804,"11,517",14,left-to-right,ltgwiki,wikipedia,ltg,https://ltg.wikipedia.org,Latgalian,Wikipedia,Latgalian Wikipedia
Danish Wikiquote,498,"11,035",42.1%,26.2%,0.0%,"2,244",5,0,2,0.0%,0,7.7%,24,2.7%,5.6%,1.8%,25.4%,7.7%,0.71,0,155,"6,594",43,left-to-right,dawikiquote,wikiquote,da,https://da.wikiquote.org,Danish,Wikiquote,Danish Wikiquote
Esperanto Wikisource,499,"2,748",24.1%,15.7%,0.0%,500,6,2,1,0.0%,0,0.0%,58,7.6%,0.0%,0.7%,5.9%,1.0%,0.78,0,"3,966","18,766",5,left-to-right,eowikisource,wikisource,eo,https://eo.wikisource.org,Esperanto,Wikisource,Esperanto Wikisource
Catalan Wikinews,500,"3,004",19.6%,15.9%,0.0%,487,6,1,2,0.0%,0,0.0%,132,91.7%,1.5%,0.0%,1.1%,0.8%,0.93,0,"3,849","23,565",6,left-to-right,cawikinews,wikinews,ca,https://ca.wikinews.org,Catalan,Wikinews,Catalan Wikinews
Moksha Wikipedia,501,"6,327",12.1%,2.7%,0.0%,"1,168",5,1,1,2.3%,0,100.0%,68,2.4%,1.1%,1.4%,8.5%,1.5%,0.87,0,"1,185","7,480",6,left-to-right,mdfwiki,wikipedia,mdf,https://mdf.wikipedia.org,Moksha,Wikipedia,Moksha Wikipedia
Sango Wikipedia,502,"5,574",13.5%,2.3%,0.0%,"1,173",5,1,2,5.1%,0,66.7%,31,4.6%,5.1%,1.1%,10.4%,1.3%,0.76,0,255,"1,621",6,left-to-right,sgwiki,wikipedia,sg,https://sg.wikipedia.org,Sango,Wikipedia,Sango Wikipedia
Urdu Wiktionary,503,"3,508",63.1%,45.3%,0.0%,577,6,1,1,9.5%,0,0.0%,580,75.1%,7.9%,0.2%,0.7%,4.4%,0.94,0,"25,269","16,294",1,right-to-left,urwiktionary,wiktionary,ur,https://ur.wiktionary.org,Urdu,Wiktionary,Urdu Wiktionary
Swati Wikipedia,504,"8,139",35.2%,9.2%,0.0%,"1,376",6,1,2,8.0%,0,50.0%,30,4.7%,6.0%,4.4%,12.6%,3.3%,0.74,0,439,"3,536",8,left-to-right,sswiki,wikipedia,ss,https://ss.wikipedia.org,Swati,Wikipedia,Swati Wikipedia
Urdu Wikiquote,505,"2,746",25.8%,27.4%,0.0%,558,5,1,1,17.7%,0,0.0%,58,25.7%,7.0%,0.1%,2.0%,1.9%,0.87,0,447,"2,054",5,right-to-left,urwikiquote,wikiquote,ur,https://ur.wikiquote.org,Urdu,Wikiquote,Urdu Wikiquote
Serbo-Croatian Wiktionary,506,"22,850",64.4%,37.2%,0.0%,"10,156",2,0,1,4.6%,0,0.0%,14,54.7%,28.2%,5.3%,51.2%,13.7%,0.73,0,"911,547","454,751",0,left-to-right,shwiktionary,wiktionary,sh,https://sh.wiktionary.org,Serbo-Croatian,Wiktionary,Serbo-Croatian Wiktionary
Tahitian Wikipedia,507,"5,044",12.4%,3.2%,0.0%,"1,101",5,1,1,0.0%,0,50.0%,25,5.4%,8.7%,1.7%,4.7%,2.0%,0.72,0,"1,194","4,413",4,left-to-right,tywiki,wikipedia,ty,https://ty.wikipedia.org,Tahitian,Wikipedia,Tahitian Wikipedia
Tumbuka Wikipedia,508,"5,557",15.3%,3.9%,0.0%,"1,419",4,1,1,18.5%,0,0.0%,26,4.6%,13.4%,10.5%,12.8%,1.6%,0.72,0,562,"2,165",4,left-to-right,tumwiki,wikipedia,tum,https://tum.wikipedia.org,Tumbuka,Wikipedia,Tumbuka Wikipedia
Estonian Wikisource,509,"5,538",37.7%,8.3%,0.0%,"2,461",2,1,0,0.0%,0,0.0%,154,1.6%,0.2%,0.1%,1.0%,0.2%,0.91,0,"3,118","27,821",9,left-to-right,etwikisource,wikisource,et,https://et.wikisource.org,Estonian,Wikisource,Estonian Wikisource
Estonian Wikibooks,510,"1,978",20.9%,15.2%,0.0%,698,3,2,1,0.0%,0,50.0%,311,0.2%,0.0%,0.0%,6.2%,0.9%,0.90,0,114,"6,077",53,left-to-right,etwikibooks,wikibooks,et,https://et.wikibooks.org,Estonian,Wikibooks,Estonian Wikibooks
Esperanto Wikiquote,511,"2,151",16.7%,9.2%,0.0%,478,5,2,1,0.0%,0,0.0%,31,14.2%,0.5%,0.8%,3.5%,0.3%,0.72,0,"2,134","9,980",5,left-to-right,eowikiquote,wikiquote,eo,https://eo.wikiquote.org,Esperanto,Wikiquote,Esperanto Wikiquote
Odia Wikisource,512,"3,399",67.7%,15.9%,0.0%,381,9,1,1,24.0%,0,0.0%,226,0.2%,3.0%,1.6%,3.2%,0.7%,0.85,0,717,"22,630",32,left-to-right,orwikisource,wikisource,or,https://or.wikisource.org,Odia,Wikisource,Odia Wikisource
Finnish Wikivoyage,513,"2,242",29.2%,11.0%,0.0%,316,7,2,0,6.3%,0,0.0%,104,16.7%,2.5%,8.7%,4.8%,0.0%,0.00,0,"1,774",0,0,left-to-right,fiwikivoyage,wikivoyage,fi,https://fi.wikivoyage.org,Finnish,Wikivoyage,Finnish Wikivoyage
Korean Wikiversity,514,"4,480",36.0%,28.5%,0.0%,853,5,1,1,2.9%,0,0.0%,88,4.1%,6.9%,1.0%,14.7%,6.2%,0.83,0,158,"1,782",11,left-to-right,kowikiversity,wikiversity,ko,https://ko.wikiversity.org,Korean,Wikiversity,Korean Wikiversity
Estonian Wikiquote,515,"6,650",36.6%,27.1%,0.0%,"2,574",3,1,1,0.0%,0,0.0%,30,2.7%,1.1%,0.6%,28.5%,2.0%,0.82,0,319,"4,385",14,left-to-right,etwikiquote,wikiquote,et,https://et.wikiquote.org,Estonian,Wikiquote,Estonian Wikiquote
Zhuang Wikipedia,516,"7,911",11.7%,4.2%,0.1%,"1,507",5,0,1,2.3%,0,100.0%,27,4.1%,1.8%,3.4%,3.4%,1.2%,0.76,0,"1,180","4,472",4,left-to-right,zawiki,wikipedia,za,https://za.wikipedia.org,Zhuang,Wikipedia,Zhuang Wikipedia
Low German Wiktionary,517,"3,028",26.7%,11.9%,0.0%,626,5,1,1,0.0%,0,50.0%,308,50.8%,0.1%,0.0%,0.4%,0.4%,0.95,0,"7,934","22,571",3,left-to-right,ndswiktionary,wiktionary,nds,https://nds.wiktionary.org,Low German,Wiktionary,Low German Wiktionary
Tongan Wikipedia,518,"6,382",22.6%,8.4%,0.0%,"1,368",5,1,1,5.1%,0,100.0%,22,1.5%,10.0%,8.4%,15.7%,9.2%,0.72,0,"1,692","10,194",6,left-to-right,towiki,wikipedia,to,https://to.wikipedia.org,Tongan,Wikipedia,Tongan Wikipedia
